Fleet,Species,2018,2019,2020,2021,2022,2023,Grand Total
SSF,Acanthocybium solandri,3200,9014.599999999999,13055,3796.2000000000003,2751.9999999999995,217.0000000000001,32034.8
SSF,Alectis alexandrinus,NA,60225.20000000003,283395,146619.89999999997,222368,71021,783629.1
SSF,Alectis ciliaris,44600,263916.79999999964,253575,1023075.9000000001,233504,684232,2502903.6999999997
SSF,Alopias superciliosus,9000,10357.2,385,NA,4960,NA,24702.2
SSF,Alopias vulpinus,NA,1397.4000000000005,3675,NA,3839.999999999999,372.00000000000017,9284.4
SSF,Antigonia capros,NA,191.80000000000007,560,2630.6999999999994,7648,31.000000000000014,11061.5
SSF,Ariidae,NA,107572.4,116865,95837.40000000011,294528,210304,825106.8
SSF,Auxis rochei,14100,33921.2,38920,16050.599999999999,13791.999999999998,7812.000000000001,124595.79999999999
SSF,Auxis thazard,3200,4274.4000000000005,111510,50948.99999999999,2303.9999999999995,31.000000000000014,172268.4
SSF,Boops boops,NA,14165.800000000001,315,67232.69999999998,416,2480.0000000000005,84609.49999999999
SSF,Brachydeuterus auritus,NA,101982.80000000005,26145,43523.09999999998,520928,143871,836449.9
SSF,Branchiostegidae,NA,2301.600000000001,26670,12420.900000000001,22208,10695,74295.5
SSF,Brotula barbata,6100,2602.9999999999995,15120,11421.9,34912,37200.00000000001,107356.9
SSF,Caranx bartholomaei,NA,15343.999999999995,19530,63536.39999999998,74912,97278.00000000001,270600.39999999997
SSF,Caranx hippos,127200,156426.59999999983,14105,156809.69999999984,374239.99999999994,131905,960686.2999999996
SSF,Carcharhinus altimus,17200,12741,31255,44122.49999999999,11776,6820.000000000001,123914.5
SSF,Carcharhinus brachyurus,NA,0,NA,NA,NA,NA,0
SSF,Carcharhinus falciformis,85000,7644.599999999997,4725,NA,1280,3534.0000000000005,102183.59999999999
SSF,Carcharhinus leucas,NA,97461.80000000002,35,NA,11392,868,109756.80000000002
SSF,Carcharhinus limbatus,NA,5370.4000000000005,31920,16083.899999999996,2015.9999999999995,21731.000000000004,77121.3
SSF,Carcharhinus plumbeus,700,767.2,70,3929.3999999999996,319.99999999999994,93,5879.5999999999995
SSF,Cephalopholis taeniops,NA,NA,6405,8258.400000000003,4512,1054.0000000000002,20229.4
SSF,Cheilopogon melanurus,NA,91899.6,47600,865.8,NA,NA,140365.4
SSF,Chloroscombrus chrysurus,70800,23865.399999999998,423605,720578.7,789280,642227.0000000001,2670356.1
SSF,Cynoglossus senegalensis,24700,46689.600000000064,67165,46686.59999999999,215328,135160,535729.2000000001
SSF,Dasyatis margarita,10200,4384,15925,9623.700000000004,47263.99999999999,92721,180117.7
SSF,Dentex macrophthalmus,900,1096,24395,2197.7999999999997,2208,NA,30796.8
SSF,Dentex maroccanus,NA,9042,85575,5261.4,90144,77159,267181.4
SSF,Dentex spp,33400,5260.8,18760,57209.40000000001,NA,NA,114630.20000000001
SSF,Drepane africana,NA,5890.9999999999945,20930,36929.69999999998,81920,48546,194216.69999999998
SSF,Echeneis naucrates,NA,NA,70,NA,640,310,1020
SSF,Echiophis creutzbergi,1400,0,NA,699.3,68064,11439.000000000004,81602.3
SSF,Elops senegalensis,NA,1424.8,245,8824.499999999996,32,403.00000000000006,10929.299999999996
SSF,Engraulis encrasicolus,NA,305016.8,70,3063.6,28512,10788.000000000002,347450.39999999997
SSF,Epinephelus aeneus,90400,NA,NA,NA,NA,NA,90400
SSF,Ethmalosa fimbriata,NA,304085.2,36645,11322,151199.99999999997,28768.000000000004,532020.2
SSF,Euthynnus alletteratus,85600,131684.40000000002,429590,819712.8000000002,505503.99999999994,428637,2400728.2
SSF,Exocoetidae,NA,262903,44730,535031.1000000001,46656,107911,997231.1000000001
SSF,Galeocerdo cuvier,23500,NA,19704.999999999996,NA,32,6045.000000000001,49282
SSF,Galeoides decadactylus,739400,117052.79999999981,430605,402730.1999999999,75679.99999999999,22723.000000000004,1788190.9999999998
SSF,Hemiramphus brasiliensis,NA,114203.20000000001,336560,442856.6999999999,205407.99999999997,348657.00000000006,1447684.9
SSF,Hemiramphus spp,351000,NA,NA,NA,NA,NA,351000
SSF,Ilisha africana,323500,360364.79999999993,471450,530002.8000000002,2220576,612281,4518174.6
SSF,Istiophorus albicans,30100,36743.4,44450,126773.1,37888,18259.000000000004,294213.5
SSF,Isurus oxyrinchus,NA,NA,2975,NA,319.99999999999994,1736.0000000000002,5031
SSF,Isurus paucus,NA,NA,15854.999999999998,299.7,30720,3348.0000000000005,50222.7
SSF,Isurus spp,NA,5589.600000000001,NA,2530.7999999999993,4192,7657.000000000001,19969.4
