Country,Fleet,Year,Catch_tonnes,Effort,CPUE,Effortday,Effortnom,CPUE_day,CPUE_nom,CPUE_day_diff,CPUE_nom_diff
Liberia,Artisanal,2003,1080,3299,0.33,35228.01098983771,4817.9722635937305,0.030657422024523314,0.22416069269656336,-0.2993425779754767,-0.10583930730343666
Liberia,Artisanal,2004,1084,3101,0.35,29244.45799610477,30.997174903075422,0.03706685212440538,34.97092891173284,-0.3129331478755946,34.62092891173284
Liberia,Artisanal,2005,309,3290,0.09,35228.19543386069,19609.235014353308,0.008771383154727107,0.015757881415252674,-0.08122861684527288,-0.07424211858474733
Liberia,Artisanal,2006,528,3446,0.15,35228.400408334084,3007.0858939400387,0.014987907310009157,0.1755852737908285,-0.13501209268999084,0.025585273790828506
Liberia,Artisanal,2007,1278,2549,0.5,35228.66189923738,38087.67684657071,0.036277279098916496,0.0335541599228588,-0.4637227209010835,-0.4664458400771412
Liberia,Artisanal,2008,2356,143487,0.02,78691.64004263967,26213.848936290065,0.02993964795654765,0.08987615690187291,0.00993964795654765,0.0698761569018729
Liberia,Artisanal,2009,736,166235,0,78692.57808621708,33185.28074806469,0.009352851538217802,0.022178507561456215,0.009352851538217802,0.022178507561456215
Liberia,Artisanal,2010,3241,139987,0.02,78693.54806510833,30570.071037341906,0.04118507907812859,0.1060187264871272,0.021185079078128593,0.08601872648712719
Liberia,Artisanal,2011,3955,148736,0.03,78694.53928377062,26496.132113984313,0.050257616805384236,0.14926706973628814,0.020257616805384238,0.11926706973628814
Liberia,Artisanal,2012,3526,118663,0.03,78695.49601161352,26400.07086746453,0.04480561377336829,0.13356024753499604,0.014805613773368288,0.10356024753499604
Liberia,Artisanal,2013,3555,125812,0.03,78696.38696807457,24515.823521852493,0.04517361135578164,0.14500838598512528,0.015173611355781644,0.11500838598512528
Liberia,Artisanal,2014,3428,135820,0.03,78697.20755091845,23703.564292479663,0.04355936006728098,0.14461960056731166,0.013559360067280979,0.11461960056731166
Liberia,Artisanal,2015,3626,155002,0.02,78697.98332503311,26130.286703046866,0.04607487824718632,0.13876617739434133,0.02607487824718632,0.11876617739434132
Liberia,Artisanal,2016,3588,129168,0.03,78698.67632772021,24840.664054401437,0.04559161814944263,0.1444405830754856,0.015591618149442633,0.1144405830754856
Liberia,Artisanal,2017,5115,158446,0.03,78699.34105129918,10492.449228060188,0.06499419095092361,0.48749342396824213,0.03499419095092361,0.4574934239682421
Liberia,Industrial,2003,270,250,1.08,22001.77982486903,3053.111608493223,0.012271734475536105,0.08843436946389617,-1.067728265524464,-0.9915656305361039
Liberia,Industrial,2004,271,168,1.61,26540.42958937792,21.476844355321543,0.010210836983153443,12.6182410933593,-1.5997891630168466,11.0082410933593
Liberia,Industrial,2005,77,190,0.41,29556.379641557134,13637.180097436625,0.0026051905183859443,0.005646328599449505,-0.40739480948161405,-0.40435367140055045
Liberia,Industrial,2006,132,212,0.62,29556.38556960369,2282.297084077419,0.004466039992919538,0.05783646700550328,-0.6155339600070805,-0.5621635329944967
Liberia,Industrial,2007,320,190,1.68,39498.00452904214,29425.647084231598,0.008101675105250191,0.010874867053356297,-1.6718983248947497,-1.6691251329466437
Liberia,Industrial,2008,223,NA,0.86,347421.1937752827,25043.2438297347,6.418721828013744e-4,0.008904597244516083,-0.8593581278171986,-0.8510954027554839
Liberia,Industrial,2009,630,NA,NA,340972.5673293506,47926.34334952792,0.001847655971078381,0.013145171443717197,NA,NA
Liberia,Industrial,2010,139,NA,NA,352257.7456694867,47444.517723066856,3.9459742676721635e-4,0.0029297378637367865,NA,NA
Liberia,Industrial,2011,111,688,0.16,355482.03840953374,46645.032739746704,3.1225206341402333e-4,0.0023796746079977724,-0.15968774793658597,-0.15762032539200224
Liberia,Industrial,2012,89,258,0.34,348227.35148910567,37721.81247668876,2.5558015365368097e-4,0.002359377616200176,-0.33974441984634635,-0.3376406223837998
Liberia,Industrial,2013,NA,NA,NA,355482.09917172824,34923.451791480504,NA,NA,NA,NA
Liberia,Industrial,2014,NA,NA,NA,352257.76128062455,41226.48726838997,NA,NA,NA,NA
Liberia,Industrial,2015,NA,NA,NA,348227.3529299134,41529.33991879528,NA,NA,NA,NA
Liberia,Industrial,2016,NA,NA,NA,348227.2838839797,58859.87453725141,NA,NA,NA,NA
Liberia,Industrial,2017,NA,NA,NA,362615.8094898136,66657.10162380929,NA,NA,NA,NA
